condition,case,category,wer,wder,sub,del,ins,ref_words,hyp_words
compute_fp16,RES0155,RES,0.1802403204272363,0.035494880546075,85,33,152,1498,1617
compute_fp16,RES0160,RES,0.1960252935862692,0.0027803521779425,66,28,123,1107,1202
compute_fp16,RES0163,RES,0.1749571183533447,0.0096745822339489,83,29,92,1166,1229
compute_fp16,RES0173,RES,0.1793611793611793,0.0155306298533218,105,62,52,1221,1211
compute_fp16,RES0207,RES,0.1975155279503105,0.0564102564102564,55,25,79,805,859
baseline,CAR0002,CAR,0.2544600938967136,0.1187084520417853,70,12,189,1065,1242
baseline,DER0001,DER,0.1416107382550335,0.0077030812324929,89,62,60,1490,1488
baseline,GAS0007,GAS,0.146726862302483,0.0151691948658109,56,29,45,886,902
baseline,GEN0001,GEN,0.1340018231540565,0.0226415094339622,50,37,60,1097,1120
baseline,MSK0008,MSK,0.2063380281690141,0.0349344978165938,157,46,90,1420,1464
baseline,MSK0013,MSK,0.2343255224825839,0.0160771704180064,113,24,233,1579,1788
baseline,MSK0017,MSK,0.1727777777777777,0.0309101316542644,112,53,146,1800,1893
baseline,MSK0025,MSK,0.1574803149606299,0.0358090185676392,75,16,149,1524,1657
baseline,MSK0026,MSK,0.2255917159763313,0.0288315629742033,89,34,182,1352,1500
baseline,MSK0041,MSK,0.1602809706257982,0.0026298487836949,100,45,106,1566,1627
baseline,MSK0046,MSK,0.1445686900958466,0.0146341463414634,76,22,83,1252,1313
baseline,RES0012,RES,0.1933174224343675,0.0463054187192118,147,65,193,2095,2223
baseline,RES0021,RES,0.2019077901430842,0.0049140049140049,87,37,130,1258,1351
baseline,RES0025,RES,0.199124726477024,0.0023059185242121,98,70,105,1371,1406
baseline,RES0030,RES,0.1273187183811129,0.0097259062776304,68,55,28,1186,1159
baseline,RES0047,RES,0.1443724219210371,0.0093341630367143,94,90,61,1697,1668
baseline,RES0051,RES,0.2523076923076923,0.0147213459516298,76,24,146,975,1097
baseline,RES0052,RES,0.274390243902439,0.0265151515151515,99,28,98,820,890
baseline,RES0053,RES,0.241901776384535,0.0351063829787234,150,34,279,1914,2159
baseline,RES0059,RES,0.2049180327868852,0.0151515151515151,99,22,154,1342,1474
baseline,RES0062,RES,0.2260061919504644,0.0078043704474505,124,16,298,1938,2220
baseline,RES0071,RES,0.261574074074074,0.07265625,71,16,252,1296,1532
baseline,RES0074,RES,0.2977850697292863,0.0415282392026578,82,15,266,1219,1470
baseline,RES0083,RES,0.2337796086508753,0.0116156282998944,59,24,144,971,1091
baseline,RES0098,RES,0.1407766990291262,0.0309798270893371,68,54,81,1442,1469
baseline,RES0100,RES,0.1922183507549361,0.0494117647058823,100,22,209,1722,1909
baseline,RES0104,RES,0.1782437745740498,0.0546075085324232,80,61,131,1526,1596
baseline,RES0106,RES,0.1511535401750199,0.0791666666666666,78,57,55,1257,1255
baseline,RES0109,RES,0.1582568807339449,0.0835294117647058,55,22,61,872,911
baseline,RES0118,RES,0.0948012232415902,0.0052301255230125,35,25,33,981,989
baseline,RES0123,RES,0.1597261836851112,0.0186915887850467,66,148,66,1753,1671
baseline,RES0127,RES,0.2040816326530612,0.0301075268817204,78,26,186,1421,1581
baseline,RES0132,RES,0.1150251617541337,0.0201192250372578,38,49,73,1391,1415
baseline,RES0134,RES,0.1217690982194141,0.0044191919191919,33,157,22,1741,1606
baseline,RES0143,RES,0.161038961038961,0.0106589147286821,42,123,21,1155,1053
baseline,RES0155,RES,0.1829105473965287,0.0283085633404104,77,85,112,1498,1525
baseline,RES0160,RES,0.1463414634146341,0.0048309178743961,57,72,33,1107,1068
baseline,RES0163,RES,0.2032590051457976,0.0098302055406613,90,47,100,1166,1219
baseline,RES0173,RES,0.1752661752661752,0.0155172413793103,111,61,42,1221,1202
baseline,RES0207,RES,0.1937888198757764,0.0552699228791773,56,27,73,805,851
beam1,CAR0002,CAR,0.1502347417840375,0.1103515625,63,41,56,1065,1080
beam1,DER0001,DER,0.1308724832214765,0.0084269662921348,84,66,45,1490,1469
beam1,GAS0007,GAS,0.1376975169300225,0.0128055878928987,53,27,42,886,901
beam1,GEN0001,GEN,0.1139471285323609,0.0161137440758293,49,42,34,1097,1089
beam1,MSK0008,MSK,0.2204225352112676,0.0305899490167516,118,47,148,1420,1521
beam1,MSK0013,MSK,0.1538948701709943,0.007251153592617,100,62,81,1579,1598
beam1,MSK0017,MSK,0.1894444444444444,0.0194292653309046,127,153,61,1800,1708
beam1,MSK0025,MSK,0.1095800524934383,0.0157103825136612,78,60,29,1524,1493
beam1,MSK0026,MSK,0.1420118343195266,0.0106870229007633,83,42,67,1352,1377
beam1,MSK0041,MSK,0.1673052362707535,0.0019907100199071,104,59,99,1566,1606
beam1,MSK0046,MSK,0.1509584664536741,0.0197424892703862,70,87,32,1252,1197
beam1,RES0012,RES,0.1813842482100238,0.0404538727183029,146,68,166,2095,2193
beam1,RES0021,RES,0.1899841017488076,0.0176026823134953,82,65,92,1258,1285
beam1,RES0025,RES,0.2005835156819839,0.0061443932411674,103,69,103,1371,1405
beam1,RES0030,RES,0.133220910623946,0.0106194690265486,73,56,29,1186,1159
beam1,RES0047,RES,0.1791396582203889,0.0091324200913242,109,164,31,1697,1564
beam1,RES0051,RES,0.1794871794871795,0.0074388947927736,77,34,64,975,1005
beam1,RES0052,RES,0.1926829268292683,0.024547803617571,78,46,34,820,808
beam1,RES0053,RES,0.2089864158829676,0.0316693505099302,143,51,206,1914,2069
beam1,RES0059,RES,0.1497764530551416,0.0138781804163454,89,45,67,1342,1364
beam1,RES0062,RES,0.2125902992776057,0.0094637223974763,136,36,240,1938,2142
beam1,RES0071,RES,0.1959876543209876,0.068825910931174,62,61,131,1296,1366
beam1,RES0074,RES,0.1698113207547169,0.0361041141897565,82,28,97,1219,1288
beam1,RES0083,RES,0.1555097837281153,0.0139484978540772,68,39,44,971,976
beam1,RES0098,RES,0.124133148404993,0.0316409124356144,62,83,34,1442,1393
beam1,RES0100,RES,0.1236933797909407,0.040264423076923,85,58,70,1722,1734
beam1,RES0104,RES,0.1389252948885976,0.0477508650519031,86,81,45,1526,1490
beam1,RES0106,RES,0.1630867143993635,0.070518266779949,80,80,45,1257,1222
beam1,RES0109,RES,0.1330275229357798,0.0714285714285714,59,18,39,872,893
beam1,RES0118,RES,0.128440366972477,0.0067340067340067,26,90,10,981,901
beam1,RES0123,RES,0.1505989731888191,0.0169067000626174,66,156,42,1753,1639
beam1,RES0127,RES,0.1759324419422941,0.014967925873129,83,18,149,1421,1552
beam1,RES0132,RES,0.1078360891445003,0.0037425149700598,31,55,64,1391,1400
beam1,RES0134,RES,0.1303848363009764,0.0031525851197982,41,155,31,1741,1617
beam1,RES0143,RES,0.1367965367965368,0.0063176895306859,42,47,69,1155,1177
beam1,RES0155,RES,0.1942590120160213,0.0228310502283105,79,184,28,1498,1342
beam1,RES0160,RES,0.1553748870822041,0.0058536585365853,56,82,34,1107,1059
beam1,RES0163,RES,0.153516295025729,0.0118289353958143,63,67,49,1166,1148
beam1,RES0173,RES,0.1973791973791973,0.0251954821894005,106,70,65,1221,1216
beam1,RES0207,RES,0.1478260869565217,0.0514511873350923,47,47,25,805,783
beam3,CAR0002,CAR,0.1774647887323943,0.1132623426911907,68,32,89,1065,1122
beam3,DER0001,DER,0.1718120805369127,0.0098176718092566,96,64,96,1490,1522
beam3,GAS0007,GAS,0.1422121896162528,0.0152046783625731,56,31,39,886,894
beam3,GEN0001,GEN,0.1476754785779398,0.0245979186376537,55,40,67,1097,1124
beam3,MSK0008,MSK,0.1619718309859155,0.0117733627667402,107,61,62,1420,1421
beam3,MSK0013,MSK,0.200759974667511,0.0038387715930902,110,16,191,1579,1754
beam3,MSK0017,MSK,0.1777777777777777,0.0272938443670151,122,78,120,1800,1842
beam3,MSK0025,MSK,0.1141732283464567,0.0156143923964697,70,51,53,1524,1526
beam3,MSK0026,MSK,0.1930473372781065,0.0045214770158251,88,25,148,1352,1475
beam3,MSK0041,MSK,0.1379310344827586,0.0033624747814391,93,79,44,1566,1531
beam3,MSK0046,MSK,0.1517571884984025,0.010797342192691,78,48,64,1252,1268
beam3,RES0012,RES,0.190453460620525,0.0424481737413622,152,69,178,2095,2204
beam3,RES0021,RES,0.178060413354531,0.0066390041493775,83,53,88,1258,1293
beam3,RES0025,RES,0.2013129102844639,0.0038051750380517,98,57,121,1371,1435
beam3,RES0030,RES,0.1247892074198988,0.0114035087719298,72,46,30,1186,1170
beam3,RES0047,RES,0.1667648791985857,0.0137844611528822,113,101,69,1697,1665
beam3,RES0051,RES,0.1907692307692307,0.0031612223393045,68,26,92,975,1041
beam3,RES0052,RES,0.2475609756097561,0.0302631578947368,107,60,36,820,796
beam3,RES0053,RES,0.1959247648902821,0.0234666666666666,143,39,193,1914,2068
beam3,RES0059,RES,0.1438152011922503,0.014751552795031,84,54,55,1342,1343
beam3,RES0062,RES,0.1455108359133126,0.0090137857900318,119,52,111,1938,1997
beam3,RES0071,RES,0.2137345679012345,0.0708035003977724,67,39,171,1296,1428
beam3,RES0074,RES,0.2600492206726825,0.0400333611342785,81,20,216,1219,1415
beam3,RES0083,RES,0.1534500514933058,0.0128755364806866,59,39,51,971,983
beam3,RES0098,RES,0.1373092926490984,0.0323741007194244,68,52,78,1442,1468
beam3,RES0100,RES,0.1713124274099884,0.0411764705882352,88,22,185,1722,1885
beam3,RES0104,RES,0.1310615989515072,0.0492371705963938,66,84,50,1526,1492
beam3,RES0106,RES,0.2163882259347653,0.0741646291768541,102,30,140,1257,1367
beam3,RES0109,RES,0.1513761467889908,0.0861466821885913,60,13,59,872,918
beam3,RES0118,RES,0.0988786952089704,0.0042462845010615,32,39,26,981,968
beam3,RES0123,RES,0.127780946948089,0.0168370414912808,57,90,77,1753,1740
beam3,RES0127,RES,0.2061928219563687,0.0293066476054324,82,22,189,1421,1588
beam3,RES0132,RES,0.126527677929547,0.0031746031746031,29,131,16,1391,1276
beam3,RES0134,RES,0.1280873061458931,0.005050505050505,40,157,26,1741,1610
beam3,RES0143,RES,0.1489177489177489,0.0115052732502396,39,112,21,1155,1064
beam3,RES0155,RES,0.192256341789052,0.0356887937187723,75,97,116,1498,1517
beam3,RES0160,RES,0.1887985546522131,0.0037174721189591,65,31,113,1107,1189
beam3,RES0163,RES,0.1792452830188679,0.0096406660823838,85,25,99,1166,1240
beam3,RES0173,RES,0.1834561834561834,0.0146173688736027,103,58,63,1221,1226
beam3,RES0207,RES,0.2037267080745341,0.0745501285347043,58,27,79,805,857
beam8,CAR0002,CAR,0.2497652582159624,0.1145833333333333,69,9,188,1065,1244
beam8,DER0001,DER,0.1523489932885906,0.0119465917076598,85,67,75,1490,1498
beam8,GAS0007,GAS,0.1580135440180587,0.0322209436133486,59,17,64,886,933
beam8,GEN0001,GEN,0.1449407474931631,0.0446927374301676,51,23,85,1097,1159
beam8,MSK0008,MSK,0.2366197183098591,0.0266187050359712,124,30,182,1420,1572
beam8,MSK0013,MSK,0.2020265991133628,0.0044785668586052,109,16,194,1579,1757
beam8,MSK0017,MSK,0.1616666666666666,0.0251572327044025,110,51,130,1800,1879
beam8,MSK0025,MSK,0.1863517060367454,0.0320213475650433,80,25,179,1524,1678
beam8,MSK0026,MSK,0.2034023668639053,0.0244461420932009,84,43,148,1352,1457
beam8,MSK0041,MSK,0.1998722860791826,0.0038634900193174,104,13,196,1566,1749
beam8,MSK0046,MSK,0.1533546325878594,0.0113177041228779,72,15,105,1252,1342
beam8,RES0012,RES,0.1670644391408114,0.0432248664400194,135,36,179,2095,2238
beam8,RES0021,RES,0.2647058823529412,0.0468119451170298,122,19,192,1258,1431
beam8,RES0025,RES,0.1947483588621444,0.0046224961479198,94,73,100,1371,1398
beam8,RES0030,RES,0.1298482293423271,0.0097345132743362,67,56,31,1186,1161
beam8,RES0047,RES,0.1514437242192103,0.0112640801001251,105,99,53,1697,1651
beam8,RES0051,RES,0.161025641025641,0.0106951871657754,77,40,40,975,975
beam8,RES0052,RES,0.2121951219512195,0.0310077519379844,88,46,40,820,814
beam8,RES0053,RES,0.2293625914315569,0.0340606705694518,156,35,248,1914,2127
beam8,RES0059,RES,0.1818181818181818,0.0206106870229007,84,32,128,1342,1438
beam8,RES0062,RES,0.2265221878224974,0.0088311688311688,131,13,295,1938,2220
beam8,RES0071,RES,0.2762345679012346,0.0859621451104101,95,28,235,1296,1503
beam8,RES0074,RES,0.3182936833470057,0.0454921422663358,83,10,295,1219,1504
beam8,RES0083,RES,0.243048403707518,0.0356394129979035,56,17,163,971,1117
beam8,RES0098,RES,0.1386962552011095,0.0314842578710644,57,108,35,1442,1369
beam8,RES0100,RES,0.2015098722415795,0.0620608899297423,91,14,242,1722,1950
beam8,RES0104,RES,0.1730013106159895,0.0533880903490759,80,65,119,1526,1580
beam8,RES0106,RES,0.1996817820206841,0.0800970873786407,96,21,134,1257,1370
beam8,RES0109,RES,0.1777522935779816,0.0952380952380952,55,11,89,872,950
beam8,RES0118,RES,0.1365953109072375,0.007760532150776,35,79,20,981,922
beam8,RES0123,RES,0.1500285225328009,0.0332125603864734,63,97,103,1753,1759
beam8,RES0127,RES,0.1998592540464461,0.0294328786791098,81,28,175,1421,1568
beam8,RES0132,RES,0.0970524802300503,0.0036954915003695,35,38,62,1391,1415
beam8,RES0134,RES,0.1074095347501436,0.0127659574468085,29,96,62,1741,1707
beam8,RES0143,RES,0.1324675324675324,0.0053859964093357,39,41,73,1155,1187
beam8,RES0155,RES,0.1869158878504672,0.032798325191905,86,65,129,1498,1562
beam8,RES0160,RES,0.1635049683830171,0.0057636887608069,55,66,60,1107,1101
beam8,RES0163,RES,0.1843910806174957,0.0096575943810359,89,27,99,1166,1238
beam8,RES0173,RES,0.1736281736281736,0.0146551724137931,103,61,48,1221,1208
beam8,RES0207,RES,0.2857142857142857,0.1111111111111111,90,31,109,805,883
patience_150,CAR0002,CAR,0.2460093896713615,0.1225071225071225,71,12,179,1065,1232
patience_150,DER0001,DER,0.1463087248322147,0.0070372976776917,90,69,59,1490,1480
patience_150,GAS0007,GAS,0.1489841986455982,0.0152224824355971,55,32,45,886,899
